system:index,avg_rad,.geo
0_0,0.18819718,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-74.70165323916912,5.760446759416432]}"
1_0,0.1857061,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-74.39622604256847,3.9772909204391818]}"
2_0,0.25779155,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.70452327379644,5.477477444918782]}"
3_0,0.21698308,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.91562736556453,4.138987671580695]}"
4_0,0.25629157,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.43952026498118,5.737988877313444]}"
5_0,0.51532346,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.36316346583102,5.598750008274918]}"
6_0,0.23853405,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.73596430874062,5.535867938386551]}"
7_0,0.20400864,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-74.26597032637115,4.165937130104282]}"
8_0,0.4453706,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.39011292435461,4.134496095160098]}"
9_0,0.27023214,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.56528440475792,5.055269261382607]}"
10_0,2.4878592,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-74.60733013433656,4.246785505675038]}"
11_0,0.20892166,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-74.10876515165023,5.616716313957308]}"
12_0,0.15997799,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.44401184140179,4.907047239502886]}"
13_0,0.23585291,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-74.04139150534127,5.136117636953364]}"
14_0,0.60539484,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.90215263630274,4.475855903125516]}"
15_0,0.22227761,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.16104252690413,4.255768658516233]}"
16_0,0.2010398,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.17900883258652,3.824577322138863]}"
17_0,0.2014193,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.11612676269816,5.392137492927428]}"
18_0,0.25305924,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.54282652265493,4.7184010298377865]}"
19_0,0.9752418,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.30028139594266,5.526884785545357]}"
20_0,0.47385067,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.408079230037,5.598750008274918]}"
21_0,0.17084636,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-74.49054914740103,3.8650015099242414]}"
22_0,0.63428706,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.51138548771074,4.035681413906951]}"
23_0,0.56737435,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-74.00545889397648,4.457889597443126]}"
24_0,0.25681672,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.76740534368481,4.740858911940775]}"
25_0,0.87988555,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.12061833911875,5.225949165365317]}"
26_0,0.32416704,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.73596430874062,5.2573902003095]}"
27_0,0.20428343,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-74.78699319116046,5.14510078979456]}"
28_0,0.23534016,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-74.76453530905748,4.592636890061054]}"
